i,cfile,argc,arrays,bitfields,comma_operators,compound_assignment,consts,divs,embedded_assigns,pre_incr_operator,pre_decr_operator,post_incr_operator,post_decr_operator,unary_plus_operator,jumps,longlong,int8,uint8,float,main,math64,inline_function,muls,safe_math,packed_struct,paranoid,pointers,structs,unions,volatiles,volatile_pointers,const_pointers,global_variables,builtins
5065,7891.c,1,0,0,863,0,0,0,138,4,6,5,0,26,10,0,36,18,26,1,0,0,0,804,0,0,1,0,0,0,0,0,18,0
5066,503.c,1,1,0,37,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,3,0
5067,5775.c,0,0,0,90,7,0,0,30,0,0,0,0,0,5,3,0,0,37,1,0,12,0,0,0,0,89,0,0,0,0,0,1,6
5068,2265.c,1,133,1,5225,90,82,15,168,13,12,0,10,4,22,34,25,45,54,1,74,10,11,0,0,0,385,0,5,90,17,49,179,13
5069,7403.c,0,0,0,156,28,0,0,65,0,0,0,0,0,10,3,0,0,0,1,3,0,10,0,0,0,233,0,0,0,0,0,1,8
5070,5058.c,1,53,0,4243,53,0,0,187,2,1,36,0,36,37,0,36,34,22,1,0,0,0,922,0,0,1,0,0,0,0,0,26,0
5071,8984.c,0,0,0,547,176,0,0,190,0,0,22,0,0,26,72,0,0,38,1,249,0,1,0,0,0,0,0,0,0,0,0,1,17
5072,80.c,1,158,0,6183,204,24,0,278,30,24,120,31,26,75,6,47,61,61,1,1,14,0,766,0,0,1,0,0,17,0,0,80,18
5073,2548.c,0,0,0,71,98,87,0,96,0,0,21,14,0,6,0,0,0,0,1,1,0,0,0,0,0,1839,0,0,0,0,62,1,0
5074,2199.c,0,0,0,146,18,0,0,58,0,0,0,0,0,7,6,0,0,0,1,1,0,27,0,0,0,0,0,0,0,0,0,1,16
5075,5489.c,1,114,1,5069,101,34,18,153,15,6,64,8,6,20,38,28,31,29,1,92,10,32,0,0,56,264,1,0,37,9,16,85,18
