ts,vn,per,num
kconfig,540,21.05,19
kconfig,540,18.75,64
kconfig,540,33.59,521
kconfig,540,100.00,2
kconfig,540,80.00,5
kconfig,540,0.00,1
kconfig,540,100.00,2
kconfig,540,0.00,41
kconfig,540,43.81,493
kconfig,540,0.00,2
kconfig,540,100.00,2
kconfig,540,0.00,6
kconfig,540,0.00,5
kconfig,540,74.29,35
kconfig,540,0.00,8
kconfig,540,53.95,152
kconfig,540,13.33,90
kconfig,540,90.84,546
kconfig,540,93.18,44
kconfig,540,75.00,8
kconfig,540,100.00,25
kconfig,540,0.00,3
kconfig,540,97.78,45
kconfig,540,2.72,588
kconfig,540,0.00,14
kconfig,540,0.00,6
kconfig,540,0.00,5
kconfig,540,0.00,526
kconfig,540,0.00,5
kconfig,540,76.30,1405
kconfig,540,0.00,15
kconfig,540,64.56,158
kconfig,540,80.25,81
kconfig,540,0.00,8
kconfig,540,0.00,45
kconfig,540,0.00,5
kconfig,540,0.00,3
kconfig,540,100.00,2
kconfig,540,75.00,4
kconfig,540,86.11,36
kconfig,540,100.00,25
kconfig,540,93.48,46
kconfig,540,100.00,9
kconfig,540,0.00,6
kconfig,540,50.00,18
kconfig,540,19.69,386
kconfig,540,0.00,1
kconfig,540,0.00,76
kconfig,540,0.00,85
kconfig,540,0.00,18
kconfig,540,0.00,198
kconfig,540,0.00,2
kconfig,540,0.00,15
kconfig,540,8.75,343
kconfig,540,0.00,12
kconfig,540,0.00,2
kconfig,540,50.76,1310
kconfig,540,78.84,189
kconfig,540,80.92,131
kconfig,540,66.67,12
kconfig,540,35.71,14
kconfig,540,0.00,38
kconfig,540,0.00,5
kconfig,540,0.00,2
kconfig,540,100.00,2
kconfig,540,0.00,6
kconfig,540,15.38,39
kconfig,540,0.00,12
kconfig,540,29.96,227
kconfig,540,0.00,372
kconfig,540,23.81,21
kconfig,540,0.00,26
kconfig,540,35.00,200
kconfig,540,0.00,14
kconfig,540,100.00,4
kconfig,540,100.00,15
kconfig,540,89.36,47
kconfig,540,0.00,1050
kconfig,540,1.40,10022
kconfig,540,0.00,13
kconfig,540,0.00,2
kconfig,540,0.00,2
kconfig,540,0.00,22
kconfig,540,25.00,24
kconfig,540,100.00,4
kconfig,540,0.00,21
kconfig,540,0.00,2
kconfig,540,45.68,81
kconfig,540,50.22,225
kconfig,540,71.43,21
kconfig,540,57.14,14
kconfig,540,0.00,122
kconfig,540,73.64,2371
kconfig,540,0.00,8
kconfig,540,100.00,10
kconfig,540,92.21,77
kconfig,540,17.95,39
kconfig,540,0.00,4
kconfig,540,0.00,5
kconfig,540,0.00,2
kconfig,540,97.36,265
kconfig,540,8.51,1257
kconfig,540,14.08,71
kconfig,540,29.41,17
kconfig,540,32.84,134
kconfig,540,10.22,274
kconfig,540,0.00,14
kconfig,540,0.00,38
kconfig,540,0.00,5
kconfig,540,0.00,5
kconfig,540,0.00,12
kconfig,540,0.00,9
kconfig,540,0.00,23
kconfig,540,0.00,12
kconfig,540,0.00,2
kconfig,540,0.00,2
kconfig,540,0.00,6
kconfig,540,0.00,18
kconfig,540,0.00,2
kconfig,540,31.67,60
kconfig,540,0.00,4
kconfig,540,42.43,641
kconfig,540,0.00,13
kconfig,540,0.00,2
kconfig,540,100.00,2
kconfig,540,42.31,26
kconfig,540,22.73,22
kconfig,540,33.33,9
kconfig,540,33.99,203
kconfig,540,0.00,4
kconfig,540,0.00,4
kconfig,540,100.00,5
kconfig,540,64.52,2345
kconfig,540,100.00,26
kconfig,540,100.00,2
kconfig,540,100.00,4
kconfig,540,97.74,133
kconfig,540,100.00,17
kconfig,540,33.33,18
kconfig,540,69.57,23
kconfig,540,19.18,219
kconfig,540,28.57,28
kconfig,540,6.15,65
kconfig,540,0.00,4
kconfig,540,0.00,8
kconfig,540,54.92,4669
kconfig,540,100.00,11
kconfig,540,0.00,3
kconfig,540,0.00,3
kconfig,540,71.15,52
kconfig,540,50.00,2
kconfig,540,100.00,35
kconfig,540,100.00,7
kconfig,540,100.00,4
kconfig,540,0.00,7
kconfig,540,81.48,27
kconfig,540,33.33,33
kconfig,540,20.00,15
kconfig,540,78.67,75
kconfig,540,50.55,1533
kconfig,540,13.13,99
kconfig,540,0.00,39
kconfig,540,42.86,14
kconfig,540,8.16,49
kconfig,540,0.00,5
kconfig,540,0.00,3
kconfig,540,75.00,8
kconfig,540,100.00,6
kconfig,540,100.00,25
kconfig,540,75.00,4
kconfig,540,9.76,41
kconfig,540,100.00,2
kconfig,540,0.00,11
kconfig,540,0.00,47
kconfig,540,1.18,509
kconfig,540,0.00,19
kconfig,540,0.00,5
kconfig,540,54.62,606
kconfig,540,66.23,77
kconfig,540,0.00,65
kconfig,540,71.68,6924
kconfig,540,63.64,11
kconfig,540,50.00,4
kconfig,540,100.00,3
kconfig,540,0.00,16
kconfig,540,70.59,17
kconfig,540,58.44,2558
kconfig,540,0.00,35
kconfig,540,57.14,21
kconfig,540,59.18,196
kconfig,540,46.34,287
kconfig,540,0.00,8
kconfig,540,6.25,48
kconfig,540,0.00,150
kconfig,540,0.00,5
kconfig,540,0.00,12
kconfig,540,50.00,8
kconfig,540,8.00,50
kconfig,540,100.00,30
kconfig,540,100.00,3
kconfig,540,100.00,4
kconfig,540,0.00,2
kconfig,540,0.00,4
kconfig,540,100.00,4
kconfig,540,0.00,2
kconfig,540,0.00,6
kconfig,540,54.55,11
kconfig,540,20.00,30
kconfig,540,0.00,2
kconfig,540,86.14,606
kconfig,540,27.27,99
kconfig,540,0.00,6
kconfig,540,0.00,45
kconfig,540,0.00,5
kconfig,540,100.00,2
kconfig,540,0.00,3
kconfig,540,100.00,5
kconfig,540,81.25,16
kconfig,540,100.00,6
kconfig,540,60.00,15
kconfig,540,34.62,26
kconfig,540,83.33,114
kconfig,540,43.01,3413
kconfig,540,100.00,2
kconfig,540,75.38,65
kconfig,540,96.72,61
kconfig,540,100.00,4
kconfig,540,96.55,87
kconfig,540,33.33,6
kconfig,540,88.60,1324
kconfig,540,78.82,85
kconfig,540,84.43,122
kconfig,540,0.00,8
kconfig,540,0.00,5
kconfig,540,56.25,16
kconfig,540,88.37,43
kconfig,540,97.73,44
kconfig,540,100.00,4
kconfig,540,100.00,23
kconfig,540,100.00,6
kconfig,540,12.12,33
kconfig,540,96.55,29
kconfig,540,0.00,96
kconfig,540,59.26,4681
kconfig,540,0.00,9
kconfig,540,0.00,4
kconfig,540,55.56,9
kconfig,540,0.00,5
kconfig,540,0.00,63
kconfig,540,0.00,156
kconfig,540,14.29,14
kconfig,540,13.45,342
kconfig,540,0.00,8
kconfig,540,0.00,4
kconfig,540,0.00,15
kconfig,540,62.50,64
kconfig,540,36.23,657
kconfig,540,0.00,4
kconfig,540,0.00,3
kconfig,540,0.00,8
kconfig,540,83.33,6
kconfig,540,0.00,26
kconfig,540,0.00,2
kconfig,540,0.00,17
kconfig,540,0.00,15
kconfig,540,0.00,40
kconfig,540,76.44,365
kconfig,540,100.00,2
kconfig,540,100.00,35
kconfig,540,100.00,4
kconfig,540,57.26,241
kconfig,540,46.51,43
