c-files	sizeInCharsC	sizeInCharsAST	comma-operators	main	main-argc	bitfields	max-array-dim	max-array-len-per-dim	arrays	pointers	structs	unions	packed-struct	divs	muls	pre-incr-operator	pre-decr-operator	post-incr-operator	post-decr-operator	unary-plus-operator	funcs	longlong	float	jump	volatiles	compound-assignment	consts	inline-function	volatile-pointers	const-pointers	global-variables	builtin-func	int8_t	uint8_t	int16_t	uint16_t	int32_t	uint32_t	int64_t	uint64_t
pr81553.c	76	560	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0
pr56321.c	170	819	5	0	0	0	1	0	0	0	0	0	0	2	8	0	0	0	0	0	1	0	4	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
pr78733.c	75	321	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr48809.c	855	3225	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	37	0	35	0	0	0	0	2	3	0	0	0	0	0	0	0	0
pr55851.c	99	682	1	0	0	0	2	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0
pr57321.c	145	1065	2	1	0	0	3	7	4	7	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0
pr71575-2.c	146	936	4	0	0	0	1	0	0	6	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	3	0	0	0	0	7	1	0	0	0	0	0	0	0	0
pr67500.c	546	1782	0	0	0	2	1	0	0	1	0	0	0	0	0	8	0	0	0	8	1	0	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0
pr71994.c	85	561	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1	0	0	0	2	0	0	0	0	0	0	0	0	0
pr24626-1.c	306	1417	4	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	1	0	0	0	0	6	4	0	0	0	0	0	0	0	0
pr61010.c	55	376	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pr25483.c	97	526	0	0	0	0	1	8	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0
pr23848-2.c	214	1233	12	0	0	0	1	0	4	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	6	2	0	0	0	0	0	0	0	0
pr17141-1.c	96	517	2	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pr41282.c	122	538	0	0	0	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0
pr57655.c	54	216	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
pr45876.c	89	475	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
